Song Title,Artist,Spotify or YouTube link,Your name (or tag)
Wait and Bleed,Slipknot,https://www.youtube.com/watch?v=xAUaEfzt_VU,Gabster
Bloody Mary,"KANKAN, Fake Type",https://youtu.be/iYHC-_WnkiQ?si=ZVAQ_-H1brXeikSc,Derek
Brasilian Skies,Masayoshi Takanaka,https://youtu.be/k0ynTKJZirg?si=JGhuKlHKa_jaYQ5t,Giovanni
De Musica Ligera,Soda Stereo,https://open.spotify.com/track/2WD9ggmpZE7Wodh3qVVCgg?si=a101a1fbeb944c83,Ale :)
The Ballad of Buck Ravers,SAMURAI,https://open.spotify.com/track/4QFsfUVgZesJCJ7jQXCXZ4?si=6e0ec20f38b54347,Esteb1ne
Life Itself,Glass Animals,https://open.spotify.com/track/32zkKx35Et6A515oZKxDkD?si=NdngHT4XTwWmO5AkRiZwKw,yommi
Dive Back In Time,白鲨JAWS,https://open.spotify.com/track/5MDff48720BZmPEOs3kHpF?si=8lb3D7pPSu2t6FvbnY2E6Q,yommi
VORTEX,白鲨JAWS,https://open.spotify.com/track/3MQTl86jub6KbdirMaEuGE?si=sprQiJyrQfSjp4HluTpn3g,yommi
ReReReRegulus,Reverse1999,https://www.youtube.com/watch?v=RZUvfUiQuWQ&list=RDEWDv4g0RFos&index=2&ab_channel=Reverse%3A1999,shi
VILLAIN,K/DA,https://open.spotify.com/track/3QSjVPObHxuAJc3E5nrjRn?si=e5791f5f85d9446c,wece
POP/STARS,K/DA,https://open.spotify.com/track/5sbooPcNgIE22DwO0VNGUJ?si=fe96be077c59402d,wece
MORE,K/DA,https://open.spotify.com/track/6juLaduD4STCUDWT0AYun4?si=fa8d2f836b104cb5,wece
Still Into You,Paramore,https://open.spotify.com/track/1yjY7rpaAQvKwpdUliHx0d?si=dc3ee7c835634ec6,wece
Misery Business,Paramore,https://open.spotify.com/track/6SpLc7EXZIPpy0sVko0aoU?si=4dc15325da394a8a,wece
Ain't It Fun,Paramore,https://open.spotify.com/track/1j8z4TTjJ1YOdoFEDwJTQa?si=ea01e05b3316438f,wece
Hard Times,Paramore,https://open.spotify.com/track/0w5Bdu51Ka25Pf3hojsKHh?si=2e1a2cb0d35441c3,wece
You First,Paramore,https://open.spotify.com/track/2ZMkAWKrNDXrQuF0N9Q9Xj?si=39dc70322691421c,wece
Crave,Paramore,https://open.spotify.com/track/7wYCva1bI1AkHRQoVXhy8F?si=88bd17b4827c4eaa,wece
Running Out Of Time,Paramore,https://open.spotify.com/track/5NRtdsFFlmyE8qDMgS08PE?si=1274467fed024991,wece
From The Start,Laufey,https://open.spotify.com/track/43iIQbw5hx986dUEZbr3eN?si=b89d3344ead44861,wece
institutionalized ,suicidal tendencies ,https://open.spotify.com/track/7G83ZwD2msTtFaBQExc8QB?si=4607db7a6ff84e6c,abbi
i shot the devil,suicidal tendencies ,https://open.spotify.com/track/1ec3LR71wMW1SDCckHQ6gk?si=8003b549eaca41e8,abbi
Falling Behind,Laufey,https://open.spotify.com/track/4KGGeE7RJsgLNZmnxGFlOj?si=3572882bebe842df,wece
Valentine,Laufey,https://open.spotify.com/track/6cx5CvFhqN19efStehJqoW?si=98aa30dc7f1547cf,wece
