Song,Artist,Rank
Lovin On Me,Jack Harlow,1
Lil Boo Thang,Paul Russell,2
White Horse,Chris Stapleton,3
I Remember Everything (feat. Kacey Musgraves),Zach Bryan,4
Save Me (with Lainey Wilson),Jelly Roll,5
Need A Favor,Jelly Roll,6
90s Rap Mashup,Austin Williams,7
Cruel Summer,Taylor Swift,8
Now And Then,The Beatles,9
Sin So Sweet,Warren Zeiders,10
Thinkin’ Bout Me,Morgan Wallen,11
Fast Car,Luke Combs,12
All I Want for Christmas Is You,Mariah Carey,13
Christmas / Sarajevo 12/24 (Instrumental),Trans-Siberian Orchestra,14
Fairytale Of Philadelphia,"The Philly Specials, Jason Kelce & Travis Kelce",15
greedy,Tate McRae,16
Around Me the Cold Night,Luminara Stellaris,17
Houdini,Dua Lipa,18
Lose Control,Teddy Swims,19
Wrap Me Up,Jimmy Fallon & Meghan Trainor,20
Next Winter I Will Wait for You Forever,Luminara Stellaris,21
Last Night,Morgan Wallen,22
Paint The Town Red,Doja Cat,23
Standing Next to You,Jung Kook,24
Where the Wild Things Are,Luke Combs,25
In the Sky a White Cloud Drifted Lazily,Luminara Stellaris,26
Water,Tyla,27
Rockin' Around the Christmas Tree (Single),Brenda Lee,28
Even Though I Know You,Luminara Stellaris,29
3D,Jung Kook & Jack Harlow,30
Now I Know I Know I've Lost You,Luminara Stellaris,31
Evil Ways (feat. J. Cole),Drake,32
Used To Be Young,Miley Cyrus,33
Karma,Taylor Swift,34
Fancy Like Christmas,Walker Hayes,35
Can’t Catch Me Now (from The Hunger Games: The Ballad of Songbirds & Snakes),Olivia Rodrigo,36
The Wind Brings Winter,Luminara Stellaris,37
Rich Men North of Richmond,Oliver Anthony Music,38
Better Place (From TROLLS Band Together),*NSYNC & Justin Timberlake,39
exes,Tate McRae,40
You Broke My Heart,Drake,41
Still Not Fade the Footprints,Luminara Stellaris,42
Keith,Kaylee Bell,43
Wild Ones (Extended Version),Jessie Murph & Jelly Roll,44
Standing Next to You (Band Version),Jung Kook,45
Snowman,Sia,46
Standing Next to You (Instrumental),Jung Kook,47
To Be A Man (feat. Darius Rucker),Dax,48
Tonight I Dreamed a Pink Dream,Luminara Stellaris,49
Watermelon Moonshine,Lainey Wilson,50
Standing Next to You (Future Funk Remix),Jung Kook,51
Standing Next to You (Slow Jam Remix),Jung Kook,52
Standing Next to You (Holiday Remix),Jung Kook,53
Standing Next to You (PBR&B Remix),Jung Kook,54
Standing Next to You (Latin Trap Remix),Jung Kook,55
My Heart Has Come Back,Luminara Stellaris,56
Lover,Taylor Swift,57
Gratitude,Brandon Lake,58
Why Don't You Tell the Truth ?,The day you,59
Save Me,Jelly Roll,60
Dance The Night,Dua Lipa,61
Anti-Hero,Taylor Swift,62
The Christmas Song (Merry Christmas to You),"Nat ""King"" Cole",63
I Still Miss You Every Time Dusk Falls,Luminara Stellaris,64
Islands In the Stream,Dolly Parton & Kenny Rogers,65
The Painter,Cody Johnson,66
Wizards in Winter (Instrumental),Trans-Siberian Orchestra,67
MONACO,Bad Bunny,68
Fairytale Of Philadelphia,"The Philly Specials, Jason Kelce & Travis Kelce",69
Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,70
You Don't Need to Worry,The day you,71
The Pink Rays of Sunlight Disappear,Luminara Stellaris,72
Nights in White Satin (Single Edit),"The Moody Blues, London Festival Orchestra & Peter Knight",73
Tennessee Whiskey,Chris Stapleton,74
Son Of A Sinner,Jelly Roll,75
Flyin' Pass (Single),Caldwell,76
A Mad Russian's Christmas (Instrumental),Trans-Siberian Orchestra,77
Bigger Than The Whole Sky,Taylor Swift,78
The Buds of Youth Are Still Lingering There,Luminara Stellaris,79
If You Dont Have One-The Day You,The day you,80
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,81
The Chipmunk Song (Christmas Don't Be Late),Alvin & The Chipmunks,82
White Christmas,Bing Crosby,83
Red Button,Drake,84
Stories About My Brother,Drake,85
Last Christmas (Single Version),Wham!,86
The Shoe Fits,Drake,87
Dial Drunk,Noah Kahan & Post Malone,88
Presha,2 Chainz & Lil Wayne,89
Daylight,David Kushner,90
The Best,Nicotine Dolls,91
Let It Be (feat. Paul McCartney & Ringo Starr),Dolly Parton,92
Stay With Me Santa (Mrs. Claus' Christmas Wish),SMITH,93
ONE MORE TIME,blink-182,94
Purple Rain,Dolly Parton,95
My Arms Are Spread Wide With Joy,Luminara Stellaris,96
Calm Down,Rema & Selena Gomez,97
vampire,Olivia Rodrigo,98
Wick Man,Drake,99
First Person Shooter (feat. J. Cole),Drake,100
